num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,2.9,0.305129,0.0,0.0,0.0,0.0,0,0.0053,0.00232156
75,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,3.2,0.406838,0.0,0.0,0.0,0.0,0,0.0110667,0.00366656
100,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,4.06667,0.365148,0.0,0.0,0.0,0.0,0,0.0179,0.0115441
125,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,4.56667,0.504007,0.0,0.0,0.0,0.0,0,0.0328333,0.0108089
150,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,5.13333,0.345746,0.0,0.0,0.0,0.0,0,0.0396667,0.00959646
175,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,5.63333,0.490133,0.0,0.0,0.0,0.0,0,0.0734,0.0379461
200,1,100,1.0,0.0,1.5,0.1,0,0,2000,2000,172,314,50,30,6.26667,0.52083,0.0,0.0,0.0,0.0,0,0.0744333,0.0386636
