num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,80,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,2.7,0.483046,0,0,0,0,20,0.0716,0.0272486
100,1,80,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,3.4,0.516398,0,0,0,0,92,0.4407,0.0925311
200,1,80,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,4.9,0.316228,0,0,0,0,164,4.3495,1.41514
400,1,80,1,0,1.5,0.1,0,1,2000,2000,150,300,1,10,7.0,0.0,0,0,0,0,176,77.46,15.2434
