num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,2.93333,0.253708,0.0,0.0,0.0,0.0,0,0.1868,0.0527966
75,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,0.517667,0.101403
100,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,3.7,0.466092,0.0,0.0,0.0,0.0,0,1.18707,0.221035
125,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,4.06667,0.253708,0.0,0.0,0.0,0.0,0,2.06093,0.502668
150,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,4.6,0.498273,0.0,0.0,0.0,0.0,0,3.7506,1.05437
175,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,5.03333,0.182574,0.0,0.0,0.0,0.0,0,5.51623,0.910408
200,3,75,1.0,0.0,1.5,0.1,0,3,2000,2000,172,314,50,30,5.33333,0.479463,0.0,0.0,0.0,0.0,0,7.6557,1.04292
