num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0046,0.00116264
75,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,2.1,0.305129,0.0,0.0,0.0,0.0,0,0.0136667,0.00543509
100,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,2.66667,0.479463,0.0,0.0,0.0,0.0,0,0.02,0.00968824
125,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0354667,0.0131168
150,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.1,0.305129,0.0,0.0,0.0,0.0,0,0.0421333,0.00833246
175,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.46667,0.507416,0.0,0.0,0.0,0.0,0,0.0673667,0.0310267
200,1,50,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.86667,0.345746,0.0,0.0,0.0,0.0,0,0.0699333,0.0310938
