num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,2.0,0.0,0.0,0.0,0.0,0.0,0,0.00506667,0.00239156
75,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,2.33333,0.479463,0.0,0.0,0.0,0.0,0,0.0119333,0.00486319
100,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,2.86667,0.345746,0.0,0.0,0.0,0.0,0,0.0188333,0.00990327
125,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0312,0.0116483
150,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.4,0.498273,0.0,0.0,0.0,0.0,0,0.0397333,0.0066329
175,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,3.96667,0.182574,0.0,0.0,0.0,0.0,0,0.0734333,0.0304186
200,1,75,1.0,0.0,2.0,0.1,0,0,2000,2000,172,314,50,30,4.03333,0.182574,0.0,0.0,0.0,0.0,0,0.0702667,0.0322618
