num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,2.0,0.0,0.0,0.0,0.0,0.0,0,0.00596667,0.00277282
75,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,2.03333,0.182574,0.0,0.0,0.0,0.0,0,0.0102667,0.00237709
100,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,2.93333,0.253708,0.0,0.0,0.0,0.0,0,0.0189667,0.0109591
125,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0322,0.0124302
150,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,3.3,0.466092,0.0,0.0,0.0,0.0,0,0.0387,0.00590237
175,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,3.83333,0.379049,0.0,0.0,0.0,0.0,0,0.0729667,0.0303218
200,3,75,1.0,0.0,2.0,0.1,0,2,2000,2000,172,314,50,30,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0693,0.0344125
