num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,60,1,0,2.0,0.1,0,2,2000,2000,150,300,3,10,3.9,0.316228,0,0,0,0,39,0.0079,0.0047481
100,3,60,1,0,2.0,0.1,0,2,2000,2000,150,300,3,10,6.5,0.527046,0,0,0,0,111,0.0279,0.0245604
200,3,60,1,0,2.0,0.1,0,2,2000,2000,150,300,3,10,12.0,0.666667,0,0,0,0,183,0.1434,0.0641131
400,3,60,1,0,2.0,0.1,0,2,2000,2000,150,300,3,10,22.0,0.0,0,0,0,0,189,1.2079,0.201982
