num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,5,20,1,0,2.5,0.1,0,3,2000,2000,150,300,1,10,1.4,0.516398,0,0,0,0,54,0.6402,0.233604
100,5,20,1,0,2.5,0.1,0,3,2000,2000,150,300,1,10,2.1,0.316228,0,0,0,0,126,4.1397,0.434998
200,5,20,1,0,2.5,0.1,0,3,2000,2000,150,300,1,10,2.4,0.516398,0,0,0,0,198,42.0986,5.9455
400,5,20,1,0,2.5,0.1,0,3,2000,2000,150,300,1,10,4.0,0.0,0,0,0,0,204,680.305,14.9839
