num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,2.3,0.466092,0.0,0.0,0.0,0.0,0,0.0616,0.023809
75,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,2.63333,0.556053,0.0,0.0,0.0,0.0,0,0.163467,0.0315635
100,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,3.1,0.402578,0.0,0.0,0.0,0.0,0,0.4134,0.171593
125,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,3.7,0.466092,0.0,0.0,0.0,0.0,0,0.716867,0.293372
150,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,4.03333,0.319842,0.0,0.0,0.0,0.0,0,1.18363,0.470589
175,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,4.33333,0.479463,0.0,0.0,0.0,0.0,0,1.96943,0.586216
200,1,100,1.0,0.0,2.0,0.1,0,1,2000,2000,172,314,50,30,4.73333,0.449776,0.0,0.0,0.0,0.0,0,2.72913,1.07825
