num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,data_transfer_rate,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,1.96667,0.182574,0.0,0.0,0.0,0.0,0,0.401067,0.101174
75,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,2.0,0.0,0.0,0.0,0.0,0.0,0,1.12933,0.221371
100,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,2.33333,0.479463,0.0,0.0,0.0,0.0,0,2.51593,0.49013
125,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,2.9,0.305129,0.0,0.0,0.0,0.0,0,4.51963,1.1053
150,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,3.0,0.0,0.0,0.0,0.0,0.0,0,7.77897,1.38012
175,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,3.06667,0.253708,0.0,0.0,0.0,0.0,0,10.734,2.31518
200,5,100,1.0,0.0,2.5,0.1,0,3,2000,2000,172,314,50,30,3.2,0.406838,0.0,0.0,0.0,0.0,0,16.9959,3.10946
