num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,80,1,0,1.5,0.1,0,2,2000,2000,150,300,3,10,5.3,0.483046,0,0,0,0,43,0.0072,0.00181353
100,3,80,1,0,1.5,0.1,0,2,2000,2000,150,300,3,10,9.3,0.823273,0,0,0,0,115,0.0258,0.0196005
200,3,80,1,0,1.5,0.1,0,2,2000,2000,150,300,3,10,16.8,0.421637,0,0,0,0,187,0.1479,0.0774574
400,3,80,1,0,1.5,0.1,0,2,2000,2000,150,300,3,10,33.0,0.0,0,0,0,0,193,1.0693,0.181879
