num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,60,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,3.6,0.516398,0,0,0,0,40,0.1875,0.0209085
100,3,60,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,5.9,0.567646,0,0,0,0,112,1.3084,0.340758
200,3,60,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,10.9,0.567646,0,0,0,0,184,10.1587,1.6602
400,3,60,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,18.9,0.567646,0,0,0,0,256,229.648,44.816
