num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,0,1.0,0.0,2.5,0.1,0,2,2000,2000,150,300,2,10,2.0,0.0,0.0,0.0,0.0,0.0,6,0.0066,0.0021187
100,3,0,1.0,0.0,2.5,0.1,0,2,2000,2000,150,300,2,10,3.0,0.0,0.0,0.0,0.0,0.0,15,0.045,0.0298254
200,3,0,1.0,0.0,2.5,0.1,0,2,2000,2000,150,300,2,10,5.1,0.316228,0.0,0.0,0.0,0.0,24,0.1861,0.0858972
400,3,0,1.0,0.0,2.5,0.1,0,2,2000,2000,150,300,2,10,9.0,0.0,0.0,0.0,0.0,0.0,33,1.4986,0.235239
