num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,20,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,4.0,0.0,0,0,0,0,28,0.1806,0.0268419
100,3,20,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,6.2,0.421637,0,0,0,0,100,1.2686,0.226889
200,3,20,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,11.0,0.471405,0,0,0,0,172,9.9087,1.50811
400,3,20,1,0,2.0,0.1,0,3,2000,2000,150,300,3,10,19.5,0.849837,0,0,0,0,244,221.109,17.0277
