num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,40,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,2.7,0.483046,0,0,0,0,8,0.0675,0.0152334
100,1,40,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,3.4,0.516398,0,0,0,0,80,0.4762,0.124412
200,1,40,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,4.1,0.316228,0,0,0,0,152,4.5349,1.63162
400,1,40,1,0,1.5,0.1,0,1,2000,2000,150,300,0,10,5.9,0.316228,0,0,0,0,224,61.6754,7.43247
