num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,80,1,0,2.5,0.1,0,3,2000,2000,150,300,3,10,3.0,0.0,0,0,0,0,48,0.262,0.101724
100,3,80,1,0,2.5,0.1,0,3,2000,2000,150,300,3,10,5.1,0.316228,0,0,0,0,120,1.4989,0.331736
200,3,80,1,0,2.5,0.1,0,3,2000,2000,150,300,3,10,9.2,0.421637,0,0,0,0,192,14.1837,3.07618
400,3,80,1,0,2.5,0.1,0,3,2000,2000,150,300,3,10,16.3,0.483046,0,0,0,0,264,291.884,37.225
