num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,40,1,0,2.5,0.1,0,3,2000,2000,150,300,0,10,1.8,0.421637,0,0,0,0,36,0.3618,0.0974289
100,3,40,1,0,2.5,0.1,0,3,2000,2000,150,300,0,10,2.1,0.316228,0,0,0,0,108,2.4844,0.289225
200,3,40,1,0,2.5,0.1,0,3,2000,2000,150,300,0,10,2.7,0.483046,0,0,0,0,180,28.3691,5.24403
400,3,40,1,0,2.5,0.1,0,3,2000,2000,150,300,0,10,3.7,0.483046,0,0,0,0,252,382.184,44.0895
