num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,60,1.0,0.0,1.5,0.1,2,0,2000,2000,150,300,1,10,2.0,0.0,0.0,0.0,50.8355,1.05588e-10,1,0.0059,0.00166333
100,1,60,1.0,0.0,1.5,0.1,2,0,2000,2000,150,300,1,10,2.3,0.483046,0.0,0.0,50.5024,0.607945,3,0.0239,0.0201243
200,1,60,1.0,0.0,1.5,0.1,2,0,2000,2000,150,300,1,10,3.3,0.483046,0.0,0.0,49.8202,0.634126,5,0.0827,0.0548534
400,1,60,1.0,0.0,1.5,0.1,2,0,2000,2000,150,300,1,10,4.4,0.516398,0.0,0.0,48.2055,1.10875,7,0.4847,0.240145
