num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,5,0,1.0,0.0,2.0,0.1,0,2,2000,2000,150,300,3,10,3.9,0.316228,0.0,0.0,0,0,8,0.0089,0.00493176
100,5,0,1.0,0.0,2.0,0.1,0,2,2000,2000,150,300,3,10,6.4,0.516398,0.0,0.0,0,0,17,0.0403,0.029048
200,5,0,1.0,0.0,2.0,0.1,0,2,2000,2000,150,300,3,10,11.4,0.516398,0.0,0.0,0,0,26,0.1998,0.102676
400,5,0,1.0,0.0,2.0,0.1,0,2,2000,2000,150,300,3,10,21.3,0.483046,0.0,0.0,0,0,35,1.562,0.274279
