num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,5,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,4.8,0.421637,0,0,0,0,62,0.3642,0.0667246
100,5,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,8.0,0.0,0,0,0,0,134,2.5769,0.315903
200,5,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,14.1,0.737865,0,0,0,0,206,19.0907,1.91158
400,5,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,25.9,1.28668,0,0,0,0,278,443.915,35.8019
