num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,3,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,5.0,0.0,0,0,0,0,38,0.2436,0.0852228
100,3,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,8.1,0.316228,0,0,0,0,110,1.7472,0.538156
200,3,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,14.6,0.516398,0,0,0,0,182,11.7838,1.02276
400,3,60,1,0,1.5,0.1,0,3,2000,2000,150,300,3,10,25.7,0.823273,0,0,0,0,254,267.644,37.2895
