num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,0,10,1.7,0.483046,0,0,0,0,3,0.0066,0.00371782
100,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,0,10,2.0,0.0,0,0,0,0,75,0.026,0.0206774
200,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,0,10,2.5,0.527046,0,0,0,0,147,0.1242,0.055948
400,1,20,1,0,2.0,0.1,0,0,2000,2000,150,300,0,10,3.6,0.516398,0,0,0,0,219,1.3036,0.154925
