num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,3,10,5.5,0.527046,0,0,0,0,13,0.0076,0.00471876
100,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,3,10,9.5,0.527046,0,0,0,0,85,0.0277,0.0207474
200,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,3,10,17.6,1.07497,0,0,0,0,157,0.1327,0.0759211
400,1,60,1,0,1.5,0.1,0,0,2000,2000,150,300,3,10,32.8,1.8738,0,0,0,0,229,1.3952,0.217171
