num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,40,1,0,2.0,0.1,0,1,2000,2000,150,300,2,10,2.9,0.316228,0,0,0,0,10,0.0809,0.0197622
100,1,40,1,0,2.0,0.1,0,1,2000,2000,150,300,2,10,4.2,0.421637,0,0,0,0,82,0.5628,0.171148
200,1,40,1,0,2.0,0.1,0,1,2000,2000,150,300,2,10,6.4,0.516398,0,0,0,0,154,4.1772,1.17847
400,1,40,1,0,2.0,0.1,0,1,2000,2000,150,300,2,10,10.9,0.737865,0,0,0,0,226,71.4266,5.52399
