num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,1,80,1,0,2.0,0.1,0,1,2000,2000,150,300,1,10,2.0,0.0,0,0,0,0,22,0.0982,0.0840725
100,1,80,1,0,2.0,0.1,0,1,2000,2000,150,300,1,10,2.3,0.483046,0,0,0,0,94,0.7246,0.314374
200,1,80,1,0,2.0,0.1,0,1,2000,2000,150,300,1,10,2.7,0.483046,0,0,0,0,166,7.5615,3.30741
400,1,80,1,0,2.0,0.1,0,1,2000,2000,150,300,1,10,3.5,0.527046,0,0,0,0,238,91.7773,27.2358
