num_sensors,num_depots,sensor_radius,sensor_radius_doi_percentage,doi,energy_budget,epsilon,scenario,algorithm,area_length,area_width,energy_cons_fly,energy_cons_hover,wireless_technology,iterations,tours_number_avg,tours_number_std,uncovered_sensors_avg,uncovered_sensors_std,lost_data_avg,lost_data_std,seed,running_time_avg,running_time_std
50,5,40,1,0,2.0,0.1,0,2,2000,2000,150,300,1,10,1.8,0.421637,0,0,0,0,57,0.0079,0.00430633
100,5,40,1,0,2.0,0.1,0,2,2000,2000,150,300,1,10,2.0,0.0,0,0,0,0,129,0.024,0.0187557
200,5,40,1,0,2.0,0.1,0,2,2000,2000,150,300,1,10,2.6,0.516398,0,0,0,0,201,0.1303,0.0459179
400,5,40,1,0,2.0,0.1,0,2,2000,2000,150,300,1,10,3.6,0.516398,0,0,0,0,273,1.1994,0.141919
